Rk,Name,Age,G,GS,MP,FG,FGA,FGPercent,ThreeP,ThreePA,ThreePPercent,TwoP,TwoPA,TwoPPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,Season
3,Scottie Pippen\pippesc01,23,73,56,33.1,5.7,11.9,0.476,0.3,1.1,0.273,5.4,10.8,0.496,0.488,2.8,4.1,0.668,1.9,4.2,6.1,3.5,1.9,0.8,2.7,3.6,14.4,1988-1989
4,Bill Cartwright\cartwbi01,31,78,76,29.9,4.7,9.8,0.475,0,0,,4.7,9.8,0.475,0.475,3,3.9,0.766,1.9,4.7,6.7,1.2,0.3,0.5,2.4,3,12.4,1988-1989
5,Sam Vincent\vincesa01,25,70,56,24.3,3.9,8.1,0.484,0,0.2,0.118,3.9,7.8,0.495,0.486,1.5,1.8,0.822,0.5,2.2,2.7,4.8,0.8,0.1,2,1.8,9.4,1988-1989
6,Craig Hodges\hodgecr01,28,49,6,22.7,3.8,8,0.475,1.4,3.4,0.423,2.4,4.6,0.513,0.565,0.9,1.1,0.849,0.4,1.3,1.7,2.8,0.8,0.1,1.1,1.7,10,1988-1989
7,John Paxson\paxsojo01,28,78,20,22.3,3.2,6.6,0.48,0.6,1.7,0.331,2.6,4.9,0.532,0.522,0.4,0.5,0.861,0.2,1,1.2,3.9,0.7,0.1,0.9,2.1,7.3,1988-1989
8,Brad Sellers\sellebr01,26,80,25,21.7,2.9,6,0.485,0,0.1,0.5,2.9,5.9,0.485,0.488,1.1,1.3,0.851,1.1,1.8,2.8,1.2,0.4,0.9,0.9,2.2,6.9,1988-1989
9,Dave Corzine\corzida01,32,81,7,18.3,2.5,5.4,0.461,0,0.1,0.25,2.5,5.3,0.465,0.464,0.9,1.2,0.74,1.1,2.8,3.9,1.3,0.4,0.6,1.1,1.7,5.9,1988-1989
10,Charles Davis\davisch02,30,49,3,11.1,1.7,3.9,0.426,0.1,0.3,0.267,1.6,3.6,0.44,0.437,0.4,0.5,0.731,1,1.4,2.3,0.6,0.2,0.1,0.4,1.2,3.8,1988-1989
11,Anthony Jones\jonesan01,26,8,0,8.1,0.6,1.9,0.333,0,0.1,0,0.6,1.8,0.357,0.333,0.3,0.3,1,0.5,0.5,1,0.5,0.3,0.1,0.1,0.9,1.5,1988-1989
12,Ed Nealy\nealyed01,28,13,0,7.2,0.4,0.5,0.714,0,0,,0.4,0.5,0.714,0.714,0.1,0.2,0.5,0.3,1.5,1.8,0.5,0.2,0.1,0.1,1.8,0.8,1988-1989
13,Will Perdue\perduwi01,23,30,0,6.3,1,2.4,0.403,0,0,,1,2.4,0.403,0.403,0.3,0.5,0.571,0.6,0.9,1.5,0.4,0.1,0.2,0.5,1.3,2.2,1988-1989
14,Jack Haley\haleyja01,25,51,1,5.7,0.7,1.5,0.474,0,0,,0.7,1.5,0.474,0.474,0.7,0.9,0.783,0.4,1,1.4,0.2,0.2,0,0.5,1.1,2.2,1988-1989
15,Dominic Pressley\pressdo01,24,3,0,5.7,0.3,2,0.167,0,0.7,0,0.3,1.3,0.25,0.167,0,0,,0,0.3,0.3,1.3,0,0,0,0.7,0.7,1988-1989
16,David Wood\woodda01,24,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,1988-1989
1,Michael Jordan,26,82,82,39,12.6,24,0.526,1.1,3,0.376,11.5,21,0.548,0.55,7.2,8.5,0.848,1.7,5.1,6.9,6.3,2.8,0.7,3,2.9,33.6,1989-1990
